position,pace,shooting,passing,dribbling,defending,physical,gkDiving,gkHandling,gkKicking,gkReflexes,gkPositioning,ovr
GK,52.93,27.92,49.4,30.92,36.27,53.58,73.05,88.44,70.57,74.3,74.94,83.15
CB,71.56,49.83,51.15,48.74,58.91,58.95,11.95,14.37,13.59,16.11,12.96,73.4
LW,71.71,81.48,83.43,83.45,31.38,63.35,12.48,10.26,12.13,11.62,13.64,85.6
LW,75.75,65.49,86.69,95.58,31.26,73.38,10.98,10.53,12.81,10.72,12.95,85.57
ST,71.51,84.66,57.44,68.79,32.3,69.82,13.4,8.67,8.87,17.84,11.61,82.07
CAM,66.02,58.99,67.82,81.73,47.14,51.7,13.83,19.46,14.51,13.11,8.87,79.75
CM,67.02,64.88,84.19,72.5,55.77,54.91,13.36,14.67,15.69,8.76,11.48,81.07
ST,77.13,69.06,62.38,76.86,28.79,83.03,7.21,11.46,14.78,9.41,8.88,83.01
ST,68.22,71.54,50.34,49.43,40.47,77.12,11.24,6.3,14.49,12.03,6.51,77.65
CDM,71.39,41.22,86.76,57.46,80.66,86.05,6.56,14.27,17.17,14.28,7.17,86.35
CM,70.9,48.73,67.04,74.21,55.54,69.22,12.0,5.34,10.28,10.85,8.08,77.58
LB,60.41,39.64,56.65,58.36,69.26,55.82,10.06,11.63,19.59,14.73,10.29,75.42
CAM,69.76,55.91,62.47,64.52,54.7,54.93,3.52,14.73,7.85,9.73,13.33,76.61
LB,74.52,53.99,66.29,71.75,70.42,65.39,18.37,16.94,8.27,9.6,10.3,82.7
GK,43.43,17.82,45.88,38.26,30.62,62.8,62.91,50.92,64.96,93.38,82.18,78.71
RB,86.34,57.93,57.44,64.55,84.45,63.34,14.11,9.3,19.43,17.44,10.65,83.23
CM,80.91,49.47,69.03,83.62,62.2,71.15,8.09,11.98,8.17,7.6,5.93,80.6
CDM,44.61,42.91,78.31,86.98,68.28,68.66,9.81,12.44,11.26,15.91,19.71,81.46
RW,70.73,89.0,60.36,89.55,48.76,55.86,10.14,12.79,11.16,22.24,4.96,83.82
RW,74.52,66.32,73.94,77.94,62.66,62.41,13.59,11.24,15.89,15.24,14.34,82.65
LW,72.12,70.08,67.12,80.92,20.03,64.78,13.11,8.75,4.25,7.08,7.08,83.04
GK,43.45,20.47,56.16,34.49,37.3,45.0,64.62,52.56,49.03,73.82,59.52,75.04
CM,88.02,54.08,75.43,63.52,72.28,71.62,9.88,9.64,14.03,13.33,1.45,82.37
CAM,78.66,72.99,79.2,76.93,51.29,54.67,20.96,11.04,8.45,15.21,13.08,84.51
CDM,69.85,46.61,67.99,45.84,64.56,86.8,7.19,12.86,7.83,7.03,12.47,80.04
LW,84.75,96.19,49.15,85.37,50.47,56.35,20.8,11.44,10.03,16.58,12.05,85.52
ST,73.71,79.15,66.46,72.5,20.97,62.86,16.34,13.13,10.67,13.11,9.63,83.35
RB,74.87,44.88,80.19,65.17,50.99,58.95,11.1,12.37,10.5,7.02,7.49,80.53
GK,33.04,27.72,51.1,35.05,48.22,67.6,67.82,73.4,77.29,69.75,78.81,80.71
GK,63.77,28.14,44.23,31.77,43.79,61.3,72.31,76.96,87.45,61.37,67.97,80.56
GK,47.96,29.97,34.24,33.38,63.73,68.6,77.86,51.74,63.12,76.85,62.86,81.83
LB,73.54,46.57,67.25,72.23,78.7,53.36,15.85,15.99,17.56,17.63,14.96,83.2
CDM,66.7,45.48,57.62,53.75,81.18,80.55,13.83,8.54,11.11,5.02,16.57,81.33
CB,71.13,31.95,44.72,56.31,74.33,68.28,10.69,18.21,5.83,11.38,17.19,77.59
CM,57.53,73.88,83.58,52.46,56.34,72.27,13.27,16.09,15.24,14.95,14.36,82.59
CM,62.6,47.83,72.03,72.6,57.72,69.93,11.12,14.17,11.72,4.67,8.03,79.74
LW,70.54,82.88,73.27,64.25,41.41,74.88,8.27,16.46,11.6,15.69,20.62,82.28
CAM,77.34,70.77,81.23,81.83,44.95,60.54,17.23,11.24,11.66,10.46,11.8,85.15
CAM,67.3,74.33,66.49,71.79,19.27,49.91,15.86,16.17,12.3,12.58,10.03,75.51
RW,82.9,70.55,74.87,84.48,25.89,62.46,15.03,14.45,11.21,4.16,8.42,85.98
RB,73.99,58.61,62.4,69.93,67.27,61.56,8.05,17.39,11.49,10.87,7.07,79.11
CAM,72.74,81.38,72.86,67.06,61.92,75.8,10.24,5.68,3.52,17.25,12.72,83.18
LB,72.44,40.16,58.43,87.91,69.31,76.12,8.04,11.74,11.04,12.05,5.6,81.86
CB,52.52,49.82,51.8,50.79,77.43,67.15,6.94,19.51,6.86,7.35,19.79,77.17
CB,79.94,49.75,64.5,40.51,64.8,75.39,15.0,2.33,19.17,20.99,14.66,81.71
ST,69.73,70.54,58.98,53.91,35.36,89.48,14.83,16.54,18.26,11.88,10.69,82.2
LW,82.47,65.09,68.35,84.11,51.38,56.09,11.13,10.38,11.18,9.05,9.92,82.63
RW,84.61,57.26,71.4,73.6,41.93,50.03,11.5,18.46,9.26,7.02,15.75,78.97
GK,56.06,29.39,35.73,32.56,44.62,83.31,88.63,63.2,92.69,69.34,75.09,84.5
GK,54.83,23.42,64.73,21.92,29.91,53.49,70.1,91.07,80.72,73.78,76.44,82.96
LB,57.55,49.39,64.36,77.73,60.03,59.73,14.02,16.13,9.3,10.99,8.17,75.75
GK,41.64,22.97,38.5,35.27,16.07,86.31,84.87,67.3,42.32,81.59,77.49,82.42
ST,62.34,78.35,57.27,74.34,40.57,85.21,7.52,8.9,13.05,12.31,14.15,84.09
CM,73.33,72.8,74.02,65.38,53.99,63.06,17.0,21.49,10.41,20.21,14.42,82.12
CAM,65.07,65.92,78.94,63.04,42.06,79.25,11.66,9.36,16.51,12.33,11.36,79.73
GK,53.42,22.5,33.95,26.45,53.93,44.05,66.58,56.67,85.49,59.81,64.14,77.34
GK,41.91,24.91,64.35,38.77,28.85,76.72,84.53,55.29,60.39,81.37,63.46,80.98
RB,71.42,43.88,57.38,69.98,82.72,61.51,11.44,19.7,12.64,16.82,16.0,81.77
RB,70.79,35.46,38.3,42.24,75.45,56.87,10.76,7.92,11.78,11.26,21.48,75.91
CDM,66.06,52.2,61.7,69.32,76.31,91.46,5.18,5.09,17.17,4.39,16.12,81.56
RW,84.1,55.8,60.28,57.9,30.68,65.83,9.61,4.23,13.64,8.27,9.33,78.31
GK,40.41,11.08,50.4,39.88,30.26,47.0,95.7,61.15,71.92,74.38,76.35,83.48
GK,74.05,19.03,48.28,32.07,37.45,61.33,82.6,62.0,59.1,61.44,74.57,77.57
CB,60.97,44.13,69.51,29.62,78.36,59.82,9.15,17.22,14.0,17.67,15.67,78.1
LB,60.83,45.47,45.54,58.14,61.85,79.91,8.83,15.37,7.64,13.96,10.46,75.63
ST,80.23,74.01,61.51,82.65,43.12,79.4,8.52,16.18,18.23,13.75,11.04,85.12
LB,69.48,40.33,72.32,59.13,70.0,56.79,2.21,14.03,6.82,19.61,12.45,76.94
LB,72.8,52.1,59.44,61.66,72.75,83.49,7.46,17.92,11.04,5.25,16.38,79.21
LB,74.89,42.8,71.27,62.36,82.5,85.55,15.68,6.22,16.06,7.62,16.96,84.81
RW,81.51,68.14,67.78,90.03,36.47,42.22,12.52,4.14,11.11,16.5,15.55,84.0
CB,54.15,28.22,60.2,25.54,80.39,58.73,4.61,7.99,13.41,15.26,14.31,77.88
CDM,79.79,76.07,72.85,71.0,63.68,68.69,14.69,13.83,7.28,2.93,12.89,80.39
LW,79.29,65.09,66.2,75.41,40.34,59.08,18.26,11.57,13.19,14.03,14.8,82.58
CDM,45.82,62.39,95.2,67.09,64.48,85.11,9.72,10.11,19.38,22.32,13.42,83.09
CDM,57.74,67.1,72.08,49.62,78.72,66.23,10.91,13.08,18.79,14.63,8.83,81.03
GK,36.23,30.01,62.77,32.89,50.29,54.47,85.25,52.54,66.34,70.02,80.34,81.17
CDM,72.91,48.74,74.71,71.6,80.79,75.57,13.96,5.91,6.24,9.19,19.41,84.14
LB,60.35,46.05,57.58,57.52,52.77,46.91,15.28,12.48,9.64,7.66,13.49,72.46
LB,71.36,47.05,68.21,70.97,75.05,84.71,14.71,13.09,7.21,15.36,1.0,86.56
ST,69.91,97.96,45.44,79.34,38.27,68.98,20.31,9.8,7.31,15.97,6.87,86.16
GK,43.37,20.39,39.42,37.63,29.87,54.38,68.4,56.51,69.5,73.09,68.58,74.67
CDM,60.94,41.59,51.03,51.69,74.22,80.94,7.71,10.77,13.15,11.41,11.46,76.62
ST,78.69,66.33,55.42,66.61,52.95,66.99,8.96,7.48,15.58,10.16,18.05,79.28
CDM,59.88,51.33,70.7,66.91,74.32,72.29,15.02,17.28,12.43,10.53,7.99,80.84
ST,75.55,83.53,69.13,77.47,50.8,86.84,10.65,15.39,5.14,6.73,18.33,88.71
CM,59.06,62.54,64.45,66.28,48.03,57.65,6.74,15.84,9.16,16.19,10.61,76.36
CAM,69.36,77.9,67.38,73.34,38.06,50.73,13.53,11.37,3.34,6.86,13.78,81.92
RW,92.41,72.69,64.2,74.12,52.05,64.97,13.64,17.59,17.41,13.55,12.43,83.86
CAM,62.51,64.81,82.19,70.97,26.66,39.49,13.75,12.16,15.17,12.61,2.26,77.11
RB,64.45,43.58,67.09,58.19,92.21,73.35,14.65,11.61,5.61,14.9,12.48,81.02
LB,81.16,36.43,46.83,55.83,89.89,59.79,14.36,9.51,10.6,9.84,4.6,77.82
LW,78.18,74.88,81.97,76.0,35.1,70.46,12.34,5.23,17.44,12.33,9.31,87.34
RW,73.0,73.41,74.35,83.19,33.6,56.03,10.33,17.47,12.18,13.73,13.11,79.19
RW,92.5,67.34,76.77,94.18,47.94,67.46,10.75,3.17,9.82,8.47,19.0,86.15
LW,84.04,82.88,48.42,75.59,29.21,71.34,15.86,11.6,11.76,11.11,6.72,82.83
CB,59.78,50.58,57.2,60.27,83.86,92.86,6.83,13.56,27.02,21.93,5.08,84.87
GK,47.86,20.66,54.17,33.76,34.27,67.54,77.18,70.88,57.36,60.95,63.67,78.89
LW,89.34,86.45,62.84,82.31,49.04,51.12,15.74,12.17,8.72,16.54,18.91,83.66
LW,82.14,60.39,80.56,75.77,43.69,51.95,15.32,17.63,10.24,13.08,5.18,84.07
ST,76.19,86.71,65.23,82.01,45.1,76.36,9.72,9.14,12.31,18.42,21.46,86.3
LW,75.72,68.39,61.53,78.46,33.75,69.77,13.12,12.74,12.74,16.1,17.64,81.19
RW,88.57,72.28,74.92,82.57,35.19,63.97,13.89,14.07,17.52,14.63,8.84,82.94
CAM,64.52,75.79,73.11,81.88,49.87,60.65,9.6,4.65,12.24,15.59,12.76,84.58
CM,80.78,58.93,78.7,75.73,72.38,63.95,12.83,13.0,9.59,18.72,11.91,81.5
LW,75.49,63.58,66.81,88.7,47.37,45.04,16.06,12.79,20.76,10.96,15.49,82.06
CM,58.26,64.02,77.43,62.14,55.41,64.02,24.58,7.26,12.91,12.19,12.18,78.21
CM,66.3,54.52,70.84,66.76,50.08,86.73,11.13,11.99,12.19,5.42,13.09,81.35
LB,74.61,37.71,61.12,56.56,58.34,79.28,16.7,11.53,10.21,15.13,12.39,78.19
LW,99.0,79.69,57.8,83.8,51.69,60.15,18.5,14.61,13.22,9.42,8.75,87.85
ST,72.32,61.08,65.72,66.53,27.39,69.73,14.77,9.91,2.58,8.84,10.88,79.52
ST,68.19,83.35,42.38,62.93,22.08,87.41,9.5,9.29,12.0,9.17,8.46,80.9
RB,66.08,45.26,73.72,65.08,71.17,70.94,16.27,9.36,5.14,22.01,19.67,80.42
GK,44.83,17.52,57.56,51.98,49.89,72.05,70.03,76.0,56.78,62.91,62.03,78.27
CM,74.7,62.75,73.98,83.48,82.72,96.67,10.74,9.4,10.69,13.76,13.04,88.79
CM,66.98,64.47,68.78,65.77,60.05,61.6,9.83,13.11,12.29,11.48,9.92,78.34
LW,80.16,61.6,58.34,88.21,50.51,69.55,13.84,13.92,10.74,5.64,11.11,83.25
GK,36.87,19.3,50.15,24.06,30.81,77.47,68.62,66.99,81.62,72.53,52.5,80.58
CDM,50.97,54.67,61.29,60.58,67.58,83.48,9.36,9.0,15.31,9.23,20.05,75.84
CAM,80.6,74.88,74.62,90.2,60.9,60.82,8.96,10.41,4.52,8.36,5.93,84.55
CB,50.56,28.1,62.67,22.14,75.66,63.64,14.82,12.74,11.6,12.83,13.85,78.88
LB,73.38,54.58,55.41,61.8,73.87,46.95,13.65,14.87,16.2,7.8,14.87,78.66
GK,34.64,20.61,59.63,46.18,45.31,44.02,63.0,72.82,82.0,83.91,70.08,79.11
LW,70.32,89.4,84.72,88.95,46.17,48.56,10.08,9.9,13.82,8.97,8.67,85.56
LB,96.5,51.3,55.03,71.12,57.63,67.0,13.12,10.01,18.45,13.56,11.91,83.97
RB,70.83,55.55,65.41,66.54,69.92,76.56,10.41,10.79,13.05,12.88,11.76,80.36
CAM,67.62,69.3,53.61,83.19,38.18,42.09,10.45,14.56,10.4,15.68,10.7,76.95
CDM,66.88,55.53,53.18,61.79,71.13,82.81,15.12,8.64,12.68,18.19,17.85,79.69
CAM,67.72,70.82,78.18,73.86,47.41,55.71,7.26,16.22,5.73,19.17,19.17,79.89
RB,80.97,66.56,56.05,66.67,58.41,80.69,11.09,15.49,18.85,10.28,7.08,80.42
CM,52.09,65.89,74.3,67.19,72.9,61.07,13.08,10.24,18.85,7.91,9.02,77.62
CAM,76.78,76.58,66.82,55.01,45.33,58.18,6.65,13.09,5.68,11.28,10.26,75.63
GK,42.16,23.78,49.87,36.84,41.28,62.69,85.05,72.58,85.64,83.88,76.21,84.66
CAM,69.59,66.8,72.59,85.35,53.53,50.76,9.52,8.8,9.93,6.72,13.08,82.31
RW,79.76,50.73,73.28,76.47,35.41,59.77,11.3,21.31,13.17,11.92,12.84,81.69
CAM,69.41,71.2,80.85,80.43,25.42,71.18,10.79,7.62,14.6,13.49,12.49,82.72
GK,47.63,11.58,47.82,47.7,18.16,52.89,68.6,49.26,55.46,73.35,92.73,76.71
RB,74.35,39.89,67.41,61.15,74.57,68.84,14.18,11.67,9.38,7.86,14.14,81.77
ST,71.97,86.21,56.14,64.96,3.79,63.71,13.23,5.96,5.6,5.03,7.5,81.51
CM,69.05,59.96,73.8,65.33,46.63,65.48,9.93,21.39,5.32,11.24,12.98,79.22
RB,65.89,29.9,60.45,67.2,54.19,88.12,3.21,13.78,10.86,13.43,9.1,78.54
GK,41.22,26.12,61.3,35.56,40.57,57.56,61.82,80.65,72.21,81.17,61.34,82.75
CM,76.05,58.38,73.26,76.28,72.83,82.78,16.24,10.89,12.71,5.79,10.16,85.31
LW,83.18,71.85,75.75,70.03,47.02,65.0,11.3,12.8,11.41,6.06,10.7,80.56
LW,84.61,58.2,74.91,91.2,34.16,58.43,14.93,7.58,4.14,10.16,19.72,83.94
LW,78.96,73.41,65.81,78.72,44.24,56.88,20.33,4.76,9.37,12.8,15.41,85.35
CB,62.47,33.1,54.2,42.83,81.8,80.46,14.25,15.16,15.6,19.6,9.39,83.46
RB,61.26,49.9,65.96,61.73,56.06,60.46,14.43,7.2,19.93,12.21,15.41,73.54
CB,67.46,20.82,59.38,51.32,58.25,80.96,11.73,13.55,13.49,23.93,9.64,79.07
LW,90.69,69.73,54.25,89.14,38.21,49.3,20.2,13.84,14.45,8.47,13.43,85.22
LW,68.7,65.75,65.81,78.93,49.03,56.58,14.84,20.57,6.42,5.08,6.65,83.24
ST,72.37,69.69,54.38,68.29,31.6,62.31,12.38,6.58,11.02,13.73,10.76,80.02
CDM,49.2,33.76,58.76,86.05,80.4,90.83,20.6,11.38,14.34,10.51,9.89,82.4
LB,65.98,44.22,61.4,57.98,50.57,82.31,11.71,13.76,10.45,13.09,10.45,76.26
CB,61.4,22.21,67.47,41.68,85.51,80.85,14.78,12.06,13.15,11.06,10.71,85.61
CM,77.28,78.49,75.96,78.55,51.84,70.38,14.65,14.56,13.66,9.13,12.9,81.25
LW,79.92,52.88,78.07,64.98,7.65,54.53,17.27,8.65,9.08,11.18,16.56,77.73
RW,92.22,69.98,67.99,82.27,48.65,65.91,11.07,10.67,7.74,5.8,6.77,85.85
LW,80.71,70.59,66.86,66.41,49.82,73.33,10.81,11.95,15.26,13.52,7.68,83.74
CB,59.52,32.46,61.55,60.17,76.39,88.07,25.76,18.62,16.14,16.77,13.33,82.73
CM,67.69,42.82,78.28,58.07,57.02,81.56,12.28,13.93,6.72,11.21,3.7,77.15
RW,81.16,81.33,64.57,82.31,51.57,40.92,17.46,1.81,14.41,16.35,7.32,83.89
CAM,68.59,62.73,78.46,83.7,38.44,75.19,7.46,10.36,12.09,16.86,11.0,81.2
CDM,62.92,30.45,55.29,75.69,66.39,73.68,15.52,9.8,20.71,11.92,12.0,77.54
CDM,62.23,41.02,70.29,80.26,79.54,82.88,7.63,14.43,12.99,12.13,13.77,83.0
CAM,88.47,59.39,86.43,82.71,24.39,61.93,12.07,10.09,9.88,13.54,6.64,85.24
LW,77.48,60.14,65.51,72.1,46.74,65.87,3.92,11.05,9.27,18.73,11.14,79.16
CB,59.73,30.07,46.88,43.38,83.59,58.53,16.07,10.51,14.67,15.86,15.76,78.32
CAM,68.18,78.0,79.07,66.06,26.54,54.81,16.09,9.77,15.54,8.48,10.24,80.32
CB,81.3,40.71,38.09,48.48,84.86,75.01,8.7,13.09,4.83,17.37,13.9,81.68
LW,72.41,70.66,60.82,75.11,45.98,64.37,13.76,8.57,7.74,7.7,14.42,83.22
CDM,64.79,45.92,76.2,65.88,62.88,52.8,16.62,4.7,5.88,9.4,13.1,78.45
RW,96.14,63.86,71.52,76.81,27.34,57.77,11.99,14.57,12.96,10.96,5.65,88.54
CDM,42.57,53.36,77.58,68.84,77.03,77.68,17.71,10.46,10.5,11.82,2.67,83.03
ST,91.52,57.4,83.72,78.2,39.35,72.62,7.38,8.65,16.7,8.95,14.63,83.62
GK,36.86,25.62,54.85,26.68,34.03,64.46,76.93,73.87,72.54,56.51,70.42,79.66
LW,84.69,62.66,61.31,77.48,43.6,65.72,8.12,15.68,5.4,10.52,16.4,80.98
LB,75.11,30.03,57.8,60.36,71.63,87.55,6.55,8.95,13.17,20.68,14.78,82.83
RB,70.07,50.8,65.53,65.22,60.41,61.45,13.75,11.77,17.29,15.33,19.05,77.07
CB,77.08,22.3,49.22,36.3,76.86,72.54,2.95,14.21,19.06,25.6,12.49,81.36
ST,80.94,66.98,58.82,66.92,18.8,74.41,14.37,10.38,8.66,11.44,12.9,83.8
CAM,77.94,74.17,76.94,58.55,42.41,66.81,11.81,15.84,14.71,11.86,19.5,81.27
RB,71.53,55.31,58.66,74.47,70.25,59.55,10.54,8.87,14.05,5.9,15.96,78.72
CAM,86.02,72.47,58.13,77.43,47.37,58.25,14.69,7.64,13.94,9.88,7.13,81.95
CM,70.03,50.63,67.66,62.21,87.36,64.19,14.99,13.68,12.33,15.26,15.28,78.43
CM,70.46,54.1,70.36,64.71,65.47,69.76,4.3,10.78,18.18,9.12,17.99,78.82
GK,41.28,30.47,43.39,34.82,30.5,60.42,72.33,58.39,58.75,82.31,70.54,78.68
CDM,65.11,51.69,94.04,50.89,83.19,85.31,3.68,13.38,14.88,14.14,8.62,86.71
CB,56.96,25.06,57.35,45.34,88.07,61.64,16.11,17.54,17.84,12.69,15.98,79.36
LW,76.78,70.59,71.88,76.64,27.37,72.76,11.79,10.52,5.57,16.35,13.67,83.32
LB,72.36,39.9,55.5,23.12,53.74,53.4,12.85,13.76,20.87,7.62,13.74,71.38
ST,75.08,66.3,42.1,76.9,40.97,74.29,10.97,5.24,14.55,12.28,13.09,82.41
GK,30.37,25.58,44.5,35.27,42.85,51.3,68.06,61.91,78.79,71.28,80.55,76.81
CAM,68.76,59.35,76.25,80.21,51.9,65.77,8.95,11.9,11.8,16.9,10.98,82.62
CAM,71.35,68.33,92.98,60.77,52.67,39.14,12.67,10.18,13.14,8.94,13.01,81.63
CB,67.55,40.39,45.28,41.3,94.78,71.02,4.17,19.21,27.48,10.94,10.98,84.81
CM,79.03,64.47,63.17,52.73,60.02,83.64,8.17,9.47,17.52,10.91,14.31,79.63
ST,74.11,87.98,50.21,73.51,38.3,61.36,13.47,16.85,12.82,7.6,10.7,81.89
CB,73.57,46.87,63.89,61.92,82.17,62.7,5.75,19.19,12.71,23.71,9.4,82.49
CB,44.3,22.64,51.77,41.18,65.42,84.48,17.18,14.01,8.28,29.63,7.41,78.15
RW,90.95,75.79,64.45,82.4,36.27,49.14,9.64,14.19,15.42,11.92,14.68,84.38
RW,71.25,69.19,56.95,85.83,42.72,62.62,10.28,13.15,8.01,6.36,19.1,84.03
LB,85.83,44.85,85.3,81.25,75.07,52.83,14.24,7.18,13.04,11.14,4.68,83.2
RB,63.93,47.49,77.48,59.54,76.03,74.14,10.85,14.64,15.5,6.14,11.69,81.49
CDM,58.57,50.79,81.32,69.02,73.33,80.69,13.02,8.71,15.16,14.99,6.71,84.27
LB,86.04,57.67,66.7,77.63,62.23,68.85,7.71,12.98,10.83,13.21,4.38,83.32
RB,80.75,41.13,39.81,84.07,57.75,50.18,6.36,9.94,16.26,12.05,11.91,76.51
ST,80.37,82.26,46.94,60.35,44.99,73.48,16.5,9.96,21.9,14.07,10.6,79.94
ST,76.8,90.18,60.86,69.21,40.54,79.4,9.09,14.31,9.67,22.11,15.79,85.21
RW,87.0,58.38,60.38,73.7,26.55,64.17,11.23,13.54,15.79,7.05,11.14,81.12
RB,80.03,38.82,47.43,60.91,50.41,59.18,8.5,7.33,12.96,6.38,8.81,74.5
LB,75.82,44.15,55.43,47.82,58.96,77.25,15.08,13.27,12.27,19.19,11.59,80.11
CDM,77.65,58.58,65.26,70.63,66.31,77.06,14.97,10.82,9.38,10.85,16.51,82.94
CB,65.85,31.14,37.28,51.18,70.83,60.5,13.13,3.68,9.12,21.91,18.57,74.28
LW,75.49,64.74,58.34,73.03,36.76,76.32,7.3,11.45,4.52,7.4,11.89,80.34
CDM,63.48,53.38,60.84,52.71,65.61,84.23,14.09,11.48,9.09,12.64,8.95,80.1
GK,53.04,20.64,58.24,31.34,59.07,71.01,77.19,78.69,67.88,86.16,63.47,82.66
CB,66.82,41.1,52.08,49.09,89.77,68.28,11.21,1.0,11.04,18.83,9.76,82.43
RB,78.33,44.34,64.52,53.7,61.51,76.49,13.84,11.0,12.17,16.93,16.23,76.69
CDM,71.7,57.02,71.5,62.68,76.79,69.7,16.36,10.85,14.83,14.39,10.87,85.12
CDM,64.85,44.67,99.0,62.58,77.77,88.05,6.77,9.03,7.56,9.09,11.63,90.79
RW,77.87,62.06,57.69,80.4,18.42,60.15,11.54,11.02,5.92,4.14,13.87,79.93
LB,70.98,32.11,75.44,49.46,58.71,59.82,14.95,10.7,9.88,12.82,11.95,75.93
RB,79.82,45.62,79.33,60.42,69.48,77.09,11.05,14.16,20.58,10.86,16.77,82.63
CDM,68.93,50.45,79.3,73.59,81.94,92.43,14.67,2.64,12.01,15.43,12.94,85.42
CM,61.57,65.36,58.16,70.73,41.83,57.74,17.85,15.82,11.39,11.69,16.46,73.49
CM,75.88,51.94,73.59,70.76,57.15,64.99,8.29,13.32,12.55,7.57,12.54,81.05
GK,46.57,18.88,60.3,30.45,39.27,86.93,75.63,70.57,46.93,70.4,56.66,77.52
CB,51.32,34.63,60.44,43.95,68.5,45.5,13.69,16.12,12.97,14.5,14.27,73.08
